Row.names	WT1	WT2	WT4	SH1	SH2	SH3	SH4	SH5
0610009B22Rik	408	504	380	471	398	314	306	359
0610010K14Rik	18	19	7	27	24	21	16	10
0610012G03Rik	224	299	511	216	214	241	223	190
0610030E20Rik	778	660	373	733	819	851	763	715
0610040J01Rik	3	5	4	8	7	4	5	7
1110002E22Rik	6	4	4	2	2	3	0	1
1110004F10Rik	2081	2619	2082	2979	2537	2375	2055	2317
1110017D15Rik	1	2	2	2	2	7	5	0
1110025L11Rik	0	0	0	0	0	0	0	0
1110032A03Rik	172	171	123	230	179	157	126	131
1110032F04Rik	10	15	12	21	13	2	8	7
1110038F14Rik	380	457	451	343	377	289	348	279
1110057P08Rik	0	0	0	0	0	0	0	0
1110059E24Rik	597	829	385	945	667	649	509	686
1110059G10Rik	370	539	296	306	267	269	274	258
1110065P20Rik	45	60	81	53	43	34	35	53
1190005I06Rik	0	0	0	0	0	0	0	0
1190007I07Rik	30	39	51	38	23	26	30	44
1500009L16Rik	6	3	5	5	2	2	4	0
1500011B03Rik	76	138	77	86	65	42	35	52
1520401A03Rik	0	2	5	12	2	8	4	2
1600012H06Rik	669	716	556	657	672	694	698	566
1600014C10Rik	622	582	476	341	477	463	464	417
1600014C23Rik	0	0	2	0	2	2	0	0
1700001C19Rik	0	1	1	0	4	1	1	0
1700001F09Rik	1	0	0	1	1	0	0	0
1700001J03Rik	2	1	3	9	1	6	2	4
1700001K19Rik	8	5	4	6	11	8	6	7
1700001L19Rik	2	8	2	0	3	5	1	1
1700001O22Rik	2	7	65	8	32	48	1	2
1700001P01Rik	8	5	7	13	8	12	15	8
1700003E16Rik	3	3	11	1	8	10	8	5
1700003F12Rik	16	14	24	24	16	11	7	12
1700003H04Rik	0	0	0	0	0	0	0	0
1700006A11Rik	1	2	0	0	0	0	0	0
1700008O03Rik	1	1	0	0	0	3	0	1
1700009N14Rik	1	0	0	1	0	0	3	2
1700010B08Rik	0	0	0	1	0	1	0	0
1700010I14Rik	8	9	6	3	7	7	2	6
1700011L22Rik	1	0	0	0	0	0	1	0
1700011M02Rik	0	0	0	0	0	0	0	0
1700012A03Rik	0	0	0	0	0	0	0	0
1700012B07Rik	0	1	0	0	0	0	0	0
1700012B09Rik	971	1074	1197	1526	1515	1033	1077	1123
1700013G24Rik	0	0	0	0	0	0	0	0
1700013H16Rik	0	0	1	0	2	7	2	7
1700014B07Rik	0	0	0	0	0	0	0	0
1700014D04Rik	0	2	5	6	0	2	3	1
1700015G11Rik	0	0	0	0	0	0	0	0
1700016C15Rik	1	0	0	0	3	1	0	1
1700016D06Rik	0	0	0	0	2	0	0	1
1700016H13Rik	0	1	1	0	0	0	0	0
1700016K19Rik	0	0	0	0	0	0	0	0
1700017B05Rik	814	876	880	708	729	720	671	598
1700017N19Rik	0	0	1	0	0	0	0	0
1700018B08Rik	0	0	0	1	0	0	0	2
1700018F24Rik	0	0	0	0	0	0	0	0
1700018G05Rik	0	0	0	0	0	0	0	0
1700019A02Rik	0	0	0	0	0	0	0	0
1700019D03Rik	6	4	1	2	5	6	4	0
1700019N19Rik	0	0	0	0	1	1	0	1
1700020A23Rik	1	0	0	0	0	0	0	0
1700020L13Rik	2	0	3	1	2	4	1	0
1700020L24Rik	3	3	7	2	1	1	1	1
1700020N01Rik	0	0	0	1	1	0	0	0
1700020N15Rik	0	0	0	0	0	0	0	0
1700021F07Rik	0	0	0	0	0	0	0	0
1700022I11Rik	0	0	1	0	0	0	0	0
1700024B05Rik	2	2	6	47	35	38	27	27
1700024G13Rik	0	0	0	0	0	0	0	0
1700025B11Rik	0	0	0	0	0	0	0	0
1700025C18Rik	0	0	0	0	0	0	0	0
1700025G04Rik	512	671	640	437	454	451	444	485
1700028J19Rik	5	22	16	9	14	7	5	5
1700028K03Rik	2	2	2	3	2	1	4	1
1700029F12Rik	0	0	0	0	0	0	0	0
1700029H14Rik	0	1	0	3	2	0	0	2
1700029I15Rik	14	8	17	5	7	15	10	10
1700029J07Rik	36	29	36	24	38	29	32	25
1700030J22Rik	14	14	13	13	10	15	25	6
1700030K09Rik	337	330	286	392	339	339	304	288
1700031F05Rik	0	0	0	0	0	0	0	0
1700031L13Rik	0	0	0	0	0	0	0	0
1700034E13Rik	0	0	0	0	0	0	0	0
1700034I23Rik	0	0	1	0	3	1	1	0
1700034J05Rik	0	0	0	0	0	0	0	0
1700037C18Rik	46	29	55	34	22	26	20	17
1700037H04Rik	417	487	711	457	438	355	453	368
1700040F15Rik	0	0	0	0	0	0	0	0
1700049E17Rik1	4	2	0	0	3	3	0	0
1700049E17Rik2	0	0	0	1	1	0	0	0
1700056E22Rik	12	8	20	4	15	15	10	6
1700057G04Rik	1	6	4	8	9	6	1	5
1700064H15Rik	0	1	0	0	0	0	0	0
1700066B19Rik	8	12	2	4	2	2	3	1
1700066M21Rik	307	332	174	277	247	324	253	291
1700067K01Rik	12	6	9	14	8	7	11	3
1700067P10Rik	0	0	0	0	0	0	0	0
1700069L16Rik	0	0	2	0	0	0	0	0
1700084M14Rik	0	0	0	0	0	0	0	0
1700086D15Rik	0	0	0	0	0	0	0	0
1700088E04Rik	13	8	7	22	11	13	18	28
1700092M07Rik	0	1	3	1	2	2	3	1
1700093K21Rik	0	0	2	1	2	0	0	0
1700102P08Rik	13	10	8	5	3	7	10	5
1700109H08Rik	50	30	18	105	99	122	90	100
1700113H08Rik	0	0	0	0	0	0	0	0
1700122O11Rik	0	0	0	0	0	0	0	0
1700123K08Rik	0	0	0	0	0	0	0	0
1700123L14Rik	0	0	0	1	0	0	0	0
1700123O20Rik	427	531	381	486	388	385	352	351
1700125H20Rik	1	1	2	0	0	0	0	0
1700129C05Rik	0	0	0	0	0	0	0	0
1810009A15Rik	1	1	4	9	8	3	4	2
1810009J06Rik	0	1	2	0	0	0	0	0
1810010H24Rik	15	18	23	15	13	13	4	2
1810013L24Rik	970	992	807	1160	1099	1400	1094	891
1810020O05Rik	11	8	5	13	12	17	9	23
1810024B03Rik	11	9	3	17	13	18	21	16
1810030O07Rik	739	812	630	813	732	787	637	644
1810037I17Rik	3077	5003	4372	4790	3894	3099	2885	3856
1810049J17Rik	0	0	0	0	0	0	0	0
1810055G02Rik	557	654	680	549	586	459	667	457
1810058I24Rik	485	494	837	476	435	421	366	339
1810062G17Rik	8	18	16	43	19	21	8	15
1810065E05Rik	0	1	0	0	0	0	0	4
2010003K11Rik	0	0	0	1	0	0	0	0
2010106E10Rik	0	0	0	0	0	0	0	0
2010109A12Rik	1	2	7	0	1	5	3	0
2010315B03Rik	325	327	175	379	414	422	267	291
2200002D01Rik	384	482	786	425	343	240	297	388
2200002J24Rik	0	1	0	0	2	0	0	0
2210010C04Rik	0	0	0	0	1	1	0	1
2210016F16Rik	528	697	771	535	538	460	452	511
2210016L21Rik	488	472	690	478	418	423	432	346
2210017I01Rik	0	0	0	0	3	0	0	0
2210408I21Rik	130	131	77	172	162	131	91	122
2210418O10Rik	8	16	11	10	8	22	14	16
2300002M23Rik	0	0	0	0	0	0	0	0
2300003K06Rik	0	0	0	0	0	0	0	0
2300009A05Rik	41	44	35	56	57	67	48	40
2310002L09Rik	1	0	0	0	2	0	0	1
2310003L06Rik	0	0	0	0	0	0	0	0
2310009B15Rik	148	186	301	167	150	179	123	135
2310011J03Rik	642	905	1100	715	591	504	584	534
2310022A10Rik	525	540	514	452	477	395	486	448
2310022B05Rik	827	975	1105	1033	1227	1084	1153	823
2310030G06Rik	40	35	53	65	54	69	38	40
2310033P09Rik	267	299	344	236	244	197	185	162
2310034C09Rik	0	0	0	0	0	0	0	0
2310034G01Rik	16	8	11	12	17	15	17	20
2310039H08Rik	205	253	485	204	220	134	156	158
2310046K23Rik	0	0	0	0	0	0	0	0
2310050C09Rik	0	0	0	0	6	0	0	0
2310057J18Rik	0	0	0	0	0	0	0	0
2310057M21Rik	217	242	151	268	300	269	223	254
2310057N15Rik	0	0	0	0	0	0	0	0
2310061I04Rik	434	464	610	399	418	315	441	306
2310061N02Rik	0	0	0	0	0	0	0	0
2310079G19Rik	0	0	0	0	0	0	0	0
2410002F23Rik	982	922	754	1180	963	815	837	756
2410004B18Rik	373	534	432	475	374	457	446	493
2410004P03Rik	0	3	0	1	0	2	1	0
2410137M14Rik	1	1	3	2	2	1	0	0
2510002D24Rik	152	155	201	147	110	141	132	131
2510009E07Rik	228	319	111	204	190	243	157	198
2510039O18Rik	1248	1336	1821	938	1056	903	1209	798
2610002M06Rik	911	1015	618	757	785	798	763	769
2610008E11Rik	304	282	171	357	294	408	277	298
2610021A01Rik	574	525	211	755	695	728	627	728
2610028H24Rik	0	0	0	1	0	0	0	0
2610042L04Rik	0	0	0	0	0	0	0	0
2610044O15Rik8	466	386	206	634	508	481	473	477
2610318N02Rik	68	86	91	79	75	77	88	61
2610507B11Rik	6573	5841	4060	5312	6119	5370	5725	5403
2610528A11Rik	1	0	3	0	7	0	0	3
2610528J11Rik	0	0	0	0	0	0	0	0
2700049A03Rik	211	193	136	230	203	253	207	155
2700062C07Rik	329	383	493	436	339	320	361	269
2700097O09Rik	182	190	192	256	207	239	234	228
2810004N23Rik	1042	1130	1057	1289	1105	1026	1098	941
2810021J22Rik	320	268	106	220	218	263	212	217
2810408A11Rik	11	13	18	17	16	12	4	9
2810459M11Rik	0	1	0	0	0	0	0	0
2900026A02Rik	454	409	219	456	571	518	514	410
2900092C05Rik	0	0	1	0	0	0	0	0
3110009E18Rik	43	67	82	48	46	40	48	42
3110021N24Rik	1	4	1	8	5	1	1	1
3110040M04Rik	0	0	0	0	0	0	0	0
3110040N11Rik	217	281	278	250	210	211	198	203
3110082I17Rik	428	609	391	570	534	405	386	519
3110082J24Rik	0	0	0	0	0	0	0	0
3300002I08Rik	13	12	4	14	23	18	14	7
3425401B19Rik	3	1	5	0	0	0	0	0
3830403N18Rik	1524	2007	1389	1881	1457	1323	1207	1431
3830406C13Rik	239	327	221	252	246	259	244	233
4632433K11Rik	0	0	0	0	0	0	0	0
4833420G17Rik	898	786	552	796	782	885	648	669
4833439L19Rik	1422	1410	1255	1117	1240	1053	1212	954
4921504E06Rik	1	0	1	0	0	1	0	0
4921507P07Rik	0	0	2	1	0	0	0	1
4921509C19Rik	0	0	8	1	0	2	0	0
4921511C20Rik	0	0	0	0	0	0	0	0
4921517D22Rik	0	0	0	0	0	0	0	0
4921524J17Rik	258	355	240	310	278	335	267	319
4921524L21Rik	0	0	0	0	0	0	0	0
4921536K21Rik	36	31	20	27	26	38	14	26
4921539E11Rik	0	0	0	0	0	0	0	1
4930402F06Rik	0	0	0	0	0	0	0	0
4930402K13Rik	0	0	0	0	0	0	0	0
4930404H24Rik	0	0	0	0	0	0	0	0
4930404N11Rik	5	3	5	3	3	4	2	3
4930407I10Rik	0	0	0	1	0	0	0	0
4930412O13Rik	0	0	0	0	0	0	0	0
4930415L06Rik	0	0	0	0	0	0	0	0
4930430F08Rik	158	169	116	196	165	173	140	207
4930432M17Rik	0	0	0	0	0	0	0	0
4930433I11Rik	0	0	0	0	0	0	0	0
4930438A08Rik	0	0	0	0	1	1	0	0
4930444P10Rik	0	0	1	0	1	1	2	0
4930447A16Rik	0	0	0	0	0	0	0	1
4930447C04Rik	1	3	1	2	3	1	2	2
4930447F04Rik	0	0	0	0	0	0	0	0
4930449I24Rik	0	0	0	0	0	0	0	0
4930451I11Rik	0	0	0	0	0	0	0	0
4930453N24Rik	732	898	699	781	768	711	631	621
4930455H04Rik	0	0	0	0	0	0	0	0
4930469K13Rik	4	1	0	4	4	5	1	6
4930470P17Rik	0	0	0	0	0	0	0	0
4930474N05Rik	0	0	0	0	0	0	0	0
4930480E11Rik	0	0	0	0	0	0	0	0
4930486L24Rik	0	0	0	0	0	0	0	0
4930503B20Rik	0	0	0	0	0	0	0	0
4930503E14Rik	4	3	1	14	11	6	4	9
4930503L19Rik	766	686	367	790	875	845	780	704
4930505A04Rik	0	1	0	1	1	0	2	0
4930512M02Rik	0	0	0	0	0	0	0	0
4930513O06Rik	0	0	0	0	0	0	1	0
4930516K23Rik	0	0	0	0	0	0	0	0
4930517N10Rik	0	0	0	0	0	0	0	0
4930519G04Rik	0	0	0	0	0	0	1	0
4930522H14Rik	0	0	0	0	0	0	0	0
4930522L14Rik	61	75	32	91	85	98	30	81
4930523C07Rik	93	82	63	124	132	107	134	141
4930524B15Rik	0	0	0	0	0	0	1	0
4930544D05Rik	0	0	1	0	0	0	0	0
4930544G11Rik	0	0	0	0	0	0	0	0
4930550C14Rik	10	1	6	14	12	6	7	14
4930556J24Rik	0	0	0	1	0	0	0	0
4930558C23Rik	0	0	0	0	0	0	0	0
4930558K02Rik	0	0	1	2	0	0	0	0
4930562C15Rik	4	2	0	2	4	6	2	2
4930563E22Rik	5	5	5	4	8	6	8	8
4930564D02Rik	0	0	0	0	1	2	0	0
4930568D16Rik	0	0	1	0	0	0	0	0
4930572O03Rik	0	0	0	0	0	0	0	0
4930578G10Rik	0	0	0	0	0	0	0	0
4930578I06Rik	2	3	0	0	1	4	0	0
4930579F01Rik	0	0	0	0	0	1	0	0
4930579G24Rik	233	292	198	311	241	211	220	257
4930583I09Rik	0	0	1	0	1	0	1	2
4930590J08Rik	7	2	1	4	7	6	3	6
4930595D18Rik	1	1	1	1	2	3	0	0
4930595M18Rik	0	0	0	0	0	0	0	0
4930596D02Rik	0	0	0	0	0	0	0	0
4931400O07Rik	0	0	0	0	0	0	0	0
4931406B18Rik	0	0	0	1	2	0	2	1
4931406C07Rik	788	782	388	776	738	693	597	637
4931408C20Rik	3	1	0	0	0	0	0	0
4931414P19Rik	122	108	71	112	132	141	128	87
4931422A03Rik	4	4	0	3	16	6	7	10
4931428F04Rik	162	135	40	168	229	163	208	205
4931428L18Rik	0	0	0	2	0	1	1	0
4931429L15Rik	2	0	2	0	1	4	0	3
4932414N04Rik	0	0	0	0	0	0	0	0
4932415D10Rik	0	0	0	0	0	0	0	0
4932429P05Rik	0	0	0	0	0	0	0	0
4932438A13Rik	743	590	196	612	791	837	623	613
4932438H23Rik	1	4	0	3	1	3	0	2
4933400A11Rik	0	0	0	0	0	0	0	0
4933402D24Rik	1	0	0	1	0	0	1	2
4933402J07Rik	0	0	0	0	0	0	0	0
4933402N03Rik	0	0	0	0	0	0	0	0
4933402N22Rik	0	0	0	0	0	0	0	0
4933403O08Rik	0	0	0	0	0	0	0	0
4933405L10Rik	2	2	6	2	3	9	8	1
4933405O20Rik	0	0	0	0	0	0	0	0
4933407L21Rik	2	2	1	6	4	0	1	2
4933409G03Rik	0	0	1	0	0	0	0	0
4933411K16Rik	0	2	5	2	3	5	3	2
4933412E24Rik	0	0	0	0	0	0	0	0
4933414I15Rik	0	0	0	0	0	0	0	0
4933416I08Rik	12	4	5	6	6	4	1	1
4933417A18Rik	0	0	0	0	0	0	0	0
4933421I07Rik	0	0	0	0	0	0	0	0
4933424G06Rik	0	0	0	1	0	1	0	1
4933427D14Rik	14	9	3	8	13	9	10	10
4933428G20Rik	3	2	3	7	3	2	4	4
4933428M09Rik	0	0	0	0	0	0	0	0
4933430I17Rik	10	13	15	10	18	20	10	10
4933434E20Rik	169	222	323	182	172	216	180	186
4933436I01Rik	0	0	0	0	0	0	0	0
5031410I06Rik	0	0	0	0	0	0	0	0
5031439G07Rik	1474	1760	1425	1197	1292	1139	1448	1220
5430401F13Rik	0	0	0	0	0	0	0	0
5430402E10Rik	0	0	0	0	0	0	0	0
5430403G16Rik	16	21	11	8	15	14	9	17
5530400C23Rik	0	0	0	0	0	0	0	0
5530401A14Rik	0	0	3	0	0	0	0	0
5730409E04Rik	334	291	226	245	285	258	215	241
5730455P16Rik	919	846	394	870	661	724	460	641
5730480H06Rik	303	385	209	356	325	267	291	315
5730507C01Rik	1	1	2	2	0	0	0	0
5730522E02Rik	0	0	0	0	0	0	0	0
6030458C11Rik	1384	894	535	1256	1216	1273	1210	1299
6030468B19Rik	1	0	1	0	3	0	1	1
6030498E09Rik	0	0	0	0	0	0	0	0
6330403K07Rik	4	4	2	5	0	4	2	2
6330409D20Rik	1	1	2	3	6	3	7	1
6330411D24Rik	0	0	0	0	0	0	0	0
6430548M08Rik	211	238	132	108	91	144	102	97
6430550D23Rik	8	8	7	11	11	20	12	9
6430571L13Rik	2	2	0	2	1	4	0	0
6430628N08Rik	0	0	0	0	0	0	0	0
6720489N17Rik	103	117	42	88	116	100	70	97
6820408C15Rik	0	0	0	0	0	1	0	0
7420426K07Rik	0	0	0	0	0	0	0	0
7530416G11Rik	0	0	0	0	0	0	0	0
8030462N17Rik	607	578	293	681	690	678	677	635
8030474K03Rik	0	0	0	0	0	0	0	0
9030025P20Rik	156	120	94	212	168	174	177	139
9030624G23Rik	0	0	0	0	0	0	0	0
9130008F23Rik	44	42	62	65	51	51	53	39
9130019O22Rik	85	95	85	118	98	103	93	82
9130023H24Rik	97	82	69	85	71	81	58	77
9130230L23Rik	3	2	6	0	0	0	1	0
9130401M01Rik	154	179	240	158	137	112	114	137
9130409I23Rik	1	0	0	0	0	0	0	0
9230102O04Rik	0	0	0	0	0	0	0	0
9230112D13Rik	1	0	0	0	0	1	0	0
9330159F19Rik	0	2	0	0	0	0	0	0
9330182O14Rik	0	0	0	0	0	0	0	0
9430015G10Rik	630	452	528	668	551	468	542	542
9430038I01Rik	110	120	100	124	99	100	72	75
9430069I07Rik	0	0	0	1	2	0	0	0
9530002B09Rik	0	0	0	0	0	0	0	0
9530003J23Rik	0	0	0	1	0	0	1	0
9530053A07Rik	6	17	34	18	17	8	2	9
9530068E07Rik	2950	3274	2533	1985	2144	2058	2139	1653
9530077C05Rik	77	74	69	94	91	72	86	66
9630041A04Rik	0	0	0	0	0	0	0	0
9830107B12Rik	0	3	2	0	0	0	0	0
9930012K11Rik	148	138	163	114	126	95	110	89
9930021J03Rik	773	703	320	714	840	999	731	678
9930022D16Rik	3	4	2	5	3	0	0	4
9930104L06Rik	287	244	138	322	311	342	255	294
9930111J21Rik1	45	25	9	26	50	48	29	24
9930111J21Rik2	322	211	32	160	350	222	163	140
a	6	7	8	3	13	32	1	13
A030003K21Rik	0	0	0	0	0	0	0	0
A030005K14Rik	0	0	0	0	0	0	0	0
A030005L19Rik	7	1	4	9	5	9	2	3
A030014E15Rik	0	0	0	0	0	1	0	0
A130010J15Rik	98	102	31	104	96	69	55	74
A1bg	0	0	0	0	1	0	0	0
A1cf	0	0	0	2	0	0	0	0
A230072I06Rik	0	0	0	0	0	0	0	0
A2m	3	10	9	0	6	3	10	4
A2ml1	0	0	0	0	0	0	0	0
A3galt2	4	1	3	6	9	8	6	3
A430005L14Rik	303	430	471	352	283	268	244	294
A430033K04Rik	78	101	52	82	59	99	82	83
A4galt	24	46	45	33	29	35	14	28
A4gnt	5	6	2	2	11	13	5	4
A530016L24Rik	0	0	0	0	0	0	3	0
A530032D15Rik	41	55	66	19	45	56	14	12
A530064D06Rik	44	44	70	21	34	24	25	20
A530084C06Rik	0	0	0	0	0	0	0	0
A630001G21Rik	579	543	370	497	538	683	448	460
A630010A05Rik	0	0	0	0	0	0	0	0
A630023A22Rik	0	1	0	1	0	0	0	0
A630073D07Rik	0	0	0	0	0	0	0	0
A630076J17Rik	0	0	0	0	0	0	0	1
A630089N07Rik	190	187	43	308	346	302	329	310
A630095N17Rik	2	2	2	4	6	9	13	4
A730009L09Rik	1	0	1	1	0	0	0	0
A730046J19Rik	1	0	0	0	0	0	0	0
A730049H05Rik	3	0	0	1	0	1	0	0
A730071L15Rik	3	2	0	2	1	0	1	0
A830005F24Rik	14	8	10	8	14	14	10	12
A830018L16Rik	1	0	0	0	0	1	0	0
A830031A19Rik	0	0	0	0	0	0	0	0
A930002H24Rik	7	7	0	2	6	10	8	3
A930003A15Rik	0	1	0	0	0	0	0	0
A930004D18Rik	137	127	120	104	99	88	94	97
A930007A09Rik	9	18	11	7	11	8	3	6
A930009A15Rik	0	0	0	0	0	0	0	0
A930017K11Rik	0	1	0	1	0	3	0	0
A930018P22Rik	0	0	0	0	0	0	0	0
A930033H14Rik	16	32	14	32	35	33	26	22
AA467197	274	313	329	369	507	215	197	207
AA792892	0	0	0	0	0	0	0	0
AA986860	29	43	35	31	23	39	25	17
Aaas	792	1000	1043	1033	808	605	789	912
Aacs	1352	1419	1661	870	1433	1341	1351	1349
Aadac	0	0	0	0	0	0	0	0
Aadacl2	0	0	0	0	0	0	0	0
Aadacl2fm1	0	0	0	0	0	0	0	0
Aadacl2fm2	0	0	0	0	0	0	0	0
Aadacl2fm3	0	0	0	0	0	0	0	0
Aadacl3	0	0	0	0	0	0	0	0
Aadacl4	0	0	0	0	0	0	0	0
Aadacl4fm1	0	0	0	0	0	0	0	0
Aadacl4fm2	0	0	0	0	0	0	0	0
AAdacl4fm3	0	0	0	0	0	0	0	0
Aadacl4fm4	0	0	0	0	0	0	0	0
Aadacl4fm5	0	0	0	0	0	0	0	0
Aadat	0	0	0	0	0	0	0	0
Aagab	659	572	415	551	500	494	517	457
Aak1	1278	1179	853	1080	1354	1315	1257	1159
Aamdc	97	121	77	107	93	95	82	106
Aamp	1336	1571	1681	1414	1390	1262	1223	1154
Aanat	2	0	0	1	1	0	0	0
Aar2	437	452	549	411	428	452	418	334
Aard	0	0	1	0	0	0	0	0
Aars	4081	4194	4104	4595	4759	3955	4040	3084
Aars2	176	190	162	159	194	148	212	127
Aarsd1	13	9	6	11	10	8	12	4
Aasdh	279	204	93	266	256	353	260	264
Aasdhppt	946	1196	746	1165	912	970	869	930
Aass	1	0	3	0	0	0	0	0
Aatf	1509	1600	1988	1370	1192	1024	1108	1016
Aatk	29	42	22	35	29	36	22	22
AB124611	443	402	288	153	175	238	145	176
Abat	5	1	6	7	10	7	11	8
Abca1	1579	1628	596	1572	1289	1469	1052	1096
Abca12	0	0	0	0	3	1	0	1
Abca13	1	2	2	2	0	1	0	0
Abca14	3	2	3	1	1	8	0	2
Abca15	1	1	4	0	0	0	0	3
Abca16	2	0	0	2	1	3	3	0
Abca17	1	2	0	1	0	0	1	1
Abca2	1290	1063	1013	987	1223	964	1186	823
Abca3	846	724	452	563	724	730	811	529
Abca4	6	6	6	4	10	6	7	12
Abca5	519	409	177	665	639	684	472	392
Abca6	4	2	2	0	0	1	0	3
Abca7	512	431	389	491	523	459	490	348
Abca8a	5	7	2	4	1	2	16	29
Abca8b	0	5	1	0	2	3	2	3
Abca9	196	123	25	53	124	174	205	203
Abcb10	281	308	206	268	381	305	310	255
Abcb11	1	5	3	3	2	0	3	3
Abcb1a	834	933	713	1110	1156	1146	828	943
Abcb1b	6771	8031	4925	7287	6790	5882	6261	6497
Abcb4	12	17	9	18	21	21	9	9
Abcb5	13	23	10	0	0	0	0	0
Abcb6	8	0	2	4	6	4	5	1
Abcb7	768	767	364	775	820	827	665	731
Abcb8	592	648	830	463	568	355	548	412
Abcb9	8	27	38	8	24	12	18	7
Abcc1	1390	1382	1285	1244	1419	1597	1187	911
Abcc10	127	105	117	121	113	89	102	96
Abcc12	0	0	0	0	0	0	1	0
Abcc2	2	0	2	0	2	3	0	0
Abcc3	268	245	127	154	160	120	173	124
Abcc4	409	393	281	497	501	374	501	377
Abcc5	884	691	314	922	1095	1270	1006	952
Abcc6	4	5	4	4	1	0	3	5
Abcc8	0	1	2	0	0	1	0	0
Abcc9	73	64	20	99	62	117	130	100
Abcd1	362	377	354	262	319	345	303	281
Abcd2	61	65	20	59	61	101	55	80
Abcd3	1319	1320	828	1155	1198	1331	993	1138
Abcd4	719	691	750	574	652	756	651	512
Abce1	4819	5640	2682	6517	5371	4888	4758	5847
Abcf1	2017	2464	2882	1946	1948	1780	2341	1694
Abcf2	1430	1880	1608	2005	1880	1258	1575	1726
Abcf3	583	642	680	638	595	647	630	559
Abcg1	424	548	351	263	240	248	171	196
Abcg2	91	102	77	82	73	80	61	103
Abcg3	70	77	21	39	74	51	69	74
Abcg4	26	27	14	26	23	43	28	20
Abcg5	1	0	0	1	0	0	0	0
Abcg8	0	0	1	1	0	3	0	1
Abhd1	4	0	0	1	1	6	0	1
Abhd10	165	153	118	142	129	148	144	117
Abhd11	210	184	256	276	216	204	233	200
Abhd12	1187	1157	1166	968	957	926	883	789
Abhd12b	0	0	0	0	0	0	0	0
Abhd13	907	956	474	868	916	877	769	773
Abhd14a	173	164	227	178	152	160	139	135
Abhd14b	105	104	116	76	117	114	99	80
Abhd15	11	9	3	5	8	9	10	15
Abhd16a	817	910	1006	704	727	668	724	569
Abhd16b	1	0	0	1	1	1	0	0
Abhd17a	408	459	728	425	387	371	463	304
Abhd17b	1018	1178	782	961	980	1024	825	938
Abhd17c	631	755	641	521	645	492	682	489
Abhd18	111	81	62	119	177	163	116	114
Abhd2	2901	2134	1333	3004	3092	2716	3340	2682
Abhd3	6	8	6	7	7	4	8	11
Abhd4	606	632	429	515	487	546	485	401
Abhd5	264	345	293	336	341	333	284	219
Abhd6	187	233	212	173	177	191	149	175
Abhd8	522	691	737	549	537	509	578	442
Abi1	2420	2348	1224	2477	2770	2746	2395	2282
Abi2	956	1074	643	988	1043	1203	991	932
Abi3	4	8	5	9	5	5	2	3
Abi3bp	63	84	76	16	40	37	13	46
Abitram	595	650	468	722	635	609	550	595
Abl1	1757	1647	1203	1528	1732	1712	1587	1352
Abl2	1210	1234	810	1769	2004	2216	1619	1594
Ablim1	477	236	148	147	257	352	142	283
Ablim2	5	0	2	1	0	1	1	0
Ablim3	12	14	4	13	5	8	13	23
Abo	0	0	0	0	0	0	0	0
Abr	1608	1556	873	1211	1320	1468	1300	1062
Abra	5	1	14	1	4	1	0	2
Abracl	643	863	501	600	502	354	423	474
Abraxas1	419	438	348	690	516	416	372	435
Abraxas2	659	721	465	783	725	729	559	662
Abt1	328	465	503	395	345	341	274	290
Abtb1	243	186	216	213	220	281	228	205
Abtb2	38	54	33	23	33	29	17	25
Acaa1a	457	504	509	369	353	427	368	241
Acaa1b	14	14	30	6	11	14	12	9
Acaa2	440	516	492	475	360	325	327	350
Acaca	1614	1338	1355	997	1325	1298	1310	1093
Acacb	117	94	114	104	173	221	127	106
Acad10	228	207	225	199	214	202	212	132
Acad11	84	89	57	65	72	84	47	63
Acad12	97	71	95	41	47	71	68	54
Acad8	366	320	279	320	301	250	285	289
Acad9	414	543	208	527	572	495	490	499
Acadl	1589	2181	1618	1630	1550	1832	1376	1310
Acadm	2153	2300	1367	2072	1893	1970	1645	2012
Acads	400	450	738	268	334	326	392	257
Acadsb	1234	1109	578	1078	1202	1399	1040	1069
Acadvl	462	440	269	330	346	328	342	284
Acan	0	0	2	1	0	0	0	0
Acap1	143	143	227	103	127	125	79	69
Acap2	1736	1644	692	1710	2132	2234	1831	1709
Acap3	436	421	470	389	368	341	467	365
Acat1	1811	2127	1687	2286	1951	2016	1782	1990
Acat2	1202	1362	1757	654	1193	899	946	1182
Acat3	21	18	17	15	11	24	13	20
Acbd3	996	1102	590	825	910	1087	853	772
Acbd4	396	367	483	286	319	291	267	212
Acbd5	1373	1242	663	1611	1659	1596	1331	1437
Acbd6	532	718	1241	467	525	585	501	328
Acbd7	1	2	0	3	0	0	0	3
Accs	253	186	159	268	221	249	169	172
Accsl	0	0	0	3	0	8	0	2
Acd	465	425	539	393	383	353	366	296
Ace	69	148	73	34	72	21	72	62
Ace2	2	1	0	0	0	1	0	1
Ace3	0	0	0	0	0	0	0	0
Acer1	0	0	0	0	2	0	0	0
Acer2	37	37	13	66	28	27	25	47
Acer3	726	865	445	681	628	627	538	654
Ache	27	12	17	25	16	17	15	17
Acin1	2227	2135	2106	2020	1992	2016	2171	1839
Ackr1	2	2	3	1	4	2	2	0
Ackr2	6	1	0	3	4	2	2	5
Ackr3	841	1182	783	974	797	1077	408	712
Ackr4	0	3	4	0	1	2	1	2
Acly	4391	4323	3025	2693	3692	3375	3343	3116
